,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rio Grande,66,BR,1569648191,89,-32.03,-52.1,51.66,6.42
1,Victoria,75,BN,1569648219,66,5.28,115.24,89.6,3.36
2,Busselton,0,AU,1569648078,38,-33.64,115.35,73.0,13.13
3,Rikitea,39,PF,1569647916,79,-23.12,-134.97,73.48,8.37
4,Kruisfontein,91,ZA,1569648223,84,-34.0,24.73,64.46,6.4
5,Luderitz,0,NA,1569648224,100,-26.65,15.16,55.4,14.99
6,Yellowknife,75,CA,1569648179,80,62.45,-114.38,33.8,10.29
7,Bluff,8,AU,1569648112,27,-23.58,149.07,86.37,0.96
8,Georgetown,0,GY,1569648205,100,6.8,-58.16,75.2,5.17
9,Mahebourg,40,MU,1569648228,65,-20.41,57.7,77.0,14.99
10,Hilo,1,US,1569648133,66,19.71,-155.08,84.2,4.7
11,Kathmandu,75,NP,1569648230,83,27.71,85.32,71.6,6.93
12,Katobu,78,ID,1569648232,62,-4.94,122.53,84.01,0.96
13,Paamiut,0,GL,1569648234,82,61.99,-49.67,41.28,1.39
14,Cam Ranh,40,VN,1569648235,69,11.92,109.15,89.6,11.41
15,Port Alfred,29,ZA,1569648064,92,-33.59,26.89,66.99,1.01
16,Lebu,90,ET,1569648091,93,8.96,38.73,55.4,2.24
17,Bredasdorp,100,ZA,1569647919,77,-34.53,20.04,64.99,13.87
18,Puerto Ayora,2,EC,1569648047,86,-0.74,-90.35,68.0,5.99
19,Codrington,75,AU,1569648240,21,-28.95,153.24,89.6,14.99
20,Mataura,91,NZ,1569648095,84,-46.19,168.86,53.01,18.99
21,New Norfolk,75,AU,1569648053,38,-42.78,147.06,59.0,14.99
22,Krupka,0,CZ,1569648243,82,50.68,13.86,55.4,6.93
23,Pedasi,85,PA,1569648244,93,7.53,-80.03,73.26,3.44
24,Saint-Philippe,90,CA,1569648218,77,45.36,-73.48,64.4,9.17
25,Arinos,45,BR,1569648246,70,-15.92,-46.11,69.61,2.59
26,Kidal,0,ML,1569648247,10,18.44,1.41,86.22,11.5
27,Ushuaia,40,AR,1569647921,70,-54.81,-68.31,46.4,4.16
